Device;Group;Module;Name;ID;Brunner_Name;Unit;Scale;Alternate_ID;Annotations;Certainty
DISP;Steuerung;Zusatzheizung;Programm;0x0a10a612;ZH1-18;;;0x0b10a612;0 - 5;
DISP;Steuerung;WW;Solltemperatur PWT;0x0a10c21d;WW-29;°C;0.1;0x0b10c21d;;
DISP;Steuerung;HK1;Dauerbetrieb;0x0a11221e;HK1-30;Stunden;;0x0b11221e;;
DISP;Steuerung;HK1;Waermer Kaelter;0x0a112224;HK1-36;°C;0.1;0x0b112224;;
DISP;Steuerung;WW;Zirkulationsprogramm;0x1210c219;WW-25;;;0x1310c219;0 - 5;
DISP;Steuerung;HK1;Sommerbetrieb;0x12112213;HK1-19;°C;0.1;0x13112213;;
DISP;Steuerung;HK1;Abwesenheitszeit;0x1211221f;HK1-31;Tage;;0x1311221f;;
DISP;Steuerung;HK1;Programm;0x12112222;HK1-34;;;0x13112222;0 - 5;
DISP;Steuerung;Festbrennofen;Holzart;0x12b8c20d;;;;0x13b8c20d;0 - 2;
BHZ3;Volumenstrom;Solar;;0x1c104000;T1;l/min;0.1;;;Unverifiziert
BHZ3;Volumenstrom;WW;;0x1c104001;T2;l/min;0.1;;;
BHZ3;Volumenstrom;Festbrennofen;;0x1c104003;T5;l/min;0.1;;;
BHZ3;Volumenstrom;Zusatzheizung;;0x1c104004;T6;l/min;0.1;;;Unverifiziert
BHZ3;Druck;Puffer;;0x1c104005;T7;bar;0.1;;;
BHZ3;Volumenstrom;HK1;;0x1c104006;T8;l/min;0.1;;;
BHZ3;Temperatur;HK1;VL;0x1c104009;S1;°C;0.1;;;
BHZ3;Temperatur;HK2;VL;0x1c10400a;S2;°C;0.1;;;
BHZ3;Temperatur;Puffer;Oben;0x1c10400b;S3;°C;0.1;;;
BHZ3;Temperatur;Puffer;Mitte;0x1c10400c;S4;°C;0.1;;;
BHZ3;Temperatur;Puffer;Unten;0x1c10400d;S5;°C;0.1;;;
BHZ3;Temperatur;Solar;Eintrag Puffer;0x1c10400e;S6;°C;0.1;;;
BHZ3;Temperatur;Solar;Kollektortemperatur;0x1c10400f;S7;°C;0.1;;;
BHZ3;Temperatur;Solar;RL;0x1c104010;S8;°C;0.1;;;
BHZ3;Temperatur;WW;Zirkulation;0x1c104012;S10;°C;0.1;;;
BHZ3;Temperatur;Wetter;;0x1c104013;S11;°C;0.1;;;
BHZ3;Temperatur;Festbrennofen;Kesseltemperatur;0x1c104014;S12/ST34;°C;0.1;;;
BHZ3;Temperatur;Festbrennofen;Kessel RL;0x1c104015;S13;°C;0.1;;;
BHZ3;Temperatur;Solar;Sek RL;0x1c104016;S14;°C;0.1;;;
BHZ3;Temperatur;Solar;Prim VL;0x1c104019;S17;°C;0.1;;;
BHZ3;Temperatur;Zusatzheizung;VL;0x1c10401b;S19;°C;0.1;;;
BHZ3;Temperatur;Zusatzheizung;RL;0x1c10401c;S20;°C;0.1;;;
BHZ3;Temperatur;HK1;RL;0x1c10401e;S22;°C;0.1;;;
BHZ3;Temperatur;HK2;RL;0x1c10401f;S23;°C;0.1;;;
BHZ3;Temperatur;WW;Prim VL;0x1c104020;S24;°C;0.1;;;
BHZ3;Temperatur;WW;Prim RL;0x1c104021;S25;°C;0.1;;;
BHZ3;Temperatur;WW;Ist;0x1c104022;;°C;0.1;;;
BHZ3;UNKLAHR;WW;;0x1c106002;;;;Werte im Bereich von 30 wenn Badewasser einläuft, sieht geregelt aus.;;
BHZ3;Status;HK1;Ein Aus;0x1c106008;;;;;Ein=1, Aus=0;
BHZ3;Status;HK1;Aus Ein;0x1c10600a;;;;;Aus=1, Ein=0;
BHZ3;Status;Zusatzheizung;aktiv;0x1c106013;;;;0x1c106015;0, 1;
BHZ3;Leistung;Festbrennofen;;0x1c10801a;;kw;0.1;;;
BHZ3;Gesamtleistung;Festbrennofen;Heute;0x1c10801d;;kwh;0.1;;;
BHZ3;Gesamtleistung;Festbrennofen;Gestern;0x1c10801e;;kwh;0.1;;;
BHZ3;Gesamtleistung;Festbrennofen;5 Tage ohne Heute;0x1c10801f;;kwh;0.1;;;
BHZ3;Gesamtleistung;Festbrennofen;30 Tage ohne Heute;0x1c108020;;kwh;1;;;
BHZ3;Status;Zusatzheizung;Aktiviert fuer;0x1c10a411;ZH1-17;;;;0 - 5;
EOS7;Steuerung;Zusatzheizung;Programm;0x1c10a412;ZH1-18;;;;0 - 5;
BHZ3;Status;Zusatzheizung;Ein Aus;0x1c10a413;;;;;0, 1;
BHZ3;Status;WW;Zirkulationsprogramm;0x1c10c019;WW-25;;;;0 - 5;
BHZ3;Temperatur;WW;Soll;0x1c10c037;;°C;0.1;;;Unverifiziert
BHZ3;Volumenstrom;WW-Speicher;;0x1c112006;;l/min;0.1;0x1c11200b;;
BHZ3;Status;HK1;Absenkart;0x1c11200e;HK1-14;;;;0 - 4;
BHZ3;Status;HK1;Sommerbetrieb;0x1c112013;HK1-19;°C;0.1;;;
BHZ3;Status;HK1;Dauerbetrieb;0x1c11201e;HK1-30;h;;;Zählt runter;
BHZ3;Status;HK1;Abwesenheitszeit;0x1c11201f;HK1-31;d;;;Zählt runter;
BHZ3;Status;HK1;Programm;0x1c112022;HK1-34;;;;0 - 5;
BHZ3;Status;HK1;Waermer Kaelter;0x1c112024;HK1-36;°C;0.1;;;
BHZ3;Leistung;Zusatzheizung;;0x1c114006;;kw;0.1;;;
BHZ3;Gesamtleistung;Zusatzheizung;Heute;0x1c114009;;kwh;0.1;;;
BHZ3;Gesamtleistung;Zusatzheizung;Gestern;0x1c11400a;;kwh;0.1;;;
BHZ3;Gesamtleistung;Zusatzheizung;5 Tage ohne Heute;0x1c11400b;;kwh;0.1;;;
BHZ3;Gesamtleistung;Zusatzheizung;Letzte 4 Wochen ohne Heute;0x1c11400c;;kwh;1;;;
BHZ3;Leistung;HK1;;0x1c114406;;kw;0.1;;;
BHZ3;Gesamtleistung;HK1;Heute;0x1c114409;;kwh;0.1;;;
BHZ3;Gesamtleistung;HK1;Gestern;0x1c11440a;;kwh;0.1;;;
BHZ3;Gesamtleistung;HK1;5 Tage ohne Heute;0x1c11440b;;kwh;0.1;;;
BHZ3;Gesamtleistung;HK1;Letzte 4 Wochen ohne Heute;0x1c11440c;;kwh;1;;;
BHZ3;Leistung;WW;;0x1c114c06;;kw;0.1;;;
BHZ3;Gesamtleistung;WW;Heute;0x1c114c09;;kwh;0.1;;;
BHZ3;Gesamtleistung;WW;Gestern;0x1c114c0a;;kwh;0.1;;;
BHZ3;Gesamtleistung;WW;5 Tage ohne Heute;0x1c114c0b;;kwh;0.1;;;
BHZ3;Gesamtleistung;WW;Letzte 4 Wochen ohne Heute;0x1c114c0c;;kwh;1;;;
BHZ3;Leistung;Solar;;0x1c115006;;kw;0.1;;;
BHZ3;Gesamtleistung;Solar;Heute;0x1c115009;;kwh;0.1;;;
BHZ3;Gesamtleistung;Solar;Gestern;0x1c11500a;;kwh;0.1;;;
BHZ3;Gesamtleistung;Solar;5 Tage ohne Heute;0x1c11500b;;kwh;0.1;;;
BHZ3;Gesamtleistung;Solar;Letzte 4 Wochen ohne Heute;0x1c11500c;;kwh;1;;;
EOS7;Temperatur;Festbrennofen;Brennraumtemperatur;0x1cb86000;;°C;0.1;;;
EOS7;Temperatur;Festbrennofen;Kesseltemperatur;0x1cb86001;;°C;0.1;;;
EOS7;Status;Festbrennofen;Tuer zu;0x1cb86008;;;;;0, 1;
EOS7;Status;Festbrennofen;Holzart;0x1cb8c00d;;;;;0 - 2;
EOS7;Status;Festbrennofen;Oekobetrieb aus;0x1cb8c00e;;;;;0, 1;
